"ID","Date","Total Loss"
"142","2016-06-26 00:00:00","0"
"143","2011-01-12 00:00:00","100"
"144","2011-11-17 00:00:00","22000"
"145","2010-12-20 00:00:00","220550"
"146","2007-08-27 00:00:00","26000"
"147","2014-01-06 00:00:00","51300"
"148","2008-07-24 00:00:00","1350"
"149","2007-09-19 00:00:00","20000"
"150","2013-03-03 00:00:00","41760"
"151","2005-06-14 00:00:00","2000"
"152","2014-01-29 00:00:00","0"
"153","2011-10-25 00:00:00","400"
"154","2005-03-08 00:00:00","3000800"
"155","2006-10-22 00:00:00","22550"
"156","2006-04-19 00:00:00","166700"
"157","2012-08-29 00:00:00","26500"
"158","2013-03-26 00:00:00","105700"
"159","2006-11-14 00:00:00","6500"
"160","2005-05-22 00:00:00","700"
"161","2005-12-17 00:00:00","5950"
"162","2011-10-02 00:00:00","5000"
"163","2007-02-22 00:00:00","1800"
"164","2012-08-06 00:00:00","1000"
"165","2014-03-22 00:00:00","23150"
"166","2007-01-30 00:00:00","52000"
"167","2011-07-17 00:00:00","1500"
"168","2008-11-01 00:00:00","0"
"169","2015-09-14 00:00:00","17600"
"170","2010-06-17 00:00:00","0"
"171","2011-08-09 00:00:00","0"
"172","2009-12-24 00:00:00","25"
"173","2015-11-30 00:00:00","65005"
"174","2015-12-23 00:00:00","7000"
"175","2010-04-03 00:00:00","15000"
"176","2009-12-01 00:00:00","2500"
"177","2008-10-09 00:00:00","10600"
"178","2015-08-22 00:00:00","0"
"179","2016-04-10 00:00:00","30600"
"180","2014-08-26 00:00:00","34250"
"181","2015-05-14 00:00:00","0"
"182","2005-10-03 00:00:00","2202"
"183","2007-05-19 00:00:00","150"
"184","2013-09-28 00:00:00","1000"
"185","2009-02-18 00:00:00","0"
"186","2013-09-17 00:00:00","2700"
"187","2008-03-23 00:00:00","0"
"188","2015-07-01 00:00:00","0"
"189","2005-08-30 00:00:00","1500"
"190","2006-07-28 00:00:00","2900"
"191","2012-12-07 00:00:00","0"
"192","2013-11-13 00:00:00","75"
"193","2012-02-02 00:00:00","7000"
"194","2011-03-07 00:00:00","121500"
"195","2012-05-21 00:00:00","0"
"196","2015-05-05 00:00:00","1000"
"197","2009-10-28 00:00:00","5000"
"198","2005-03-31 00:00:00","35200"
"199","2013-06-11 00:00:00","0"
"200","2012-02-11 00:00:00","0"
"201","2009-07-20 00:00:00","0"
"202","2014-10-17 00:00:00","1400"
"203","2007-12-05 00:00:00","105250"
"204","2016-10-27 00:00:00","0"
"205","2010-06-28 00:00:00","49000"
"206","2016-07-19 00:00:00","0"
"207","2015-01-25 00:00:00","5000"
"208","2013-01-28 00:00:00","3000"
"209","2013-12-26 00:00:00","0"
"210","2014-06-10 00:00:00","2100"
"211","2011-11-28 00:00:00","2500"
"212","2005-12-31 00:00:00","37350"
"213","2012-03-25 00:00:00","1000"
"214","2006-05-23 00:00:00","20000"
"215","2012-09-07 00:00:00","65250"
"216","2007-12-14 00:00:00","14100"
"217","2009-10-05 00:00:00","5510"
"218","2008-11-10 00:00:00","10200"
"219","2015-03-23 00:00:00","44100"
"220","2011-07-08 00:00:00","500"
"221","2014-05-18 00:00:00","3000"
"222","2008-12-23 00:00:00","6500"
"223","2006-11-25 00:00:00","500"
"224","2009-06-07 00:00:00","29000"
"225","2009-08-23 00:00:00","21200"
"226","2016-04-01 00:00:00","400"
"227","2009-04-02 00:00:00","0"
"228","2009-09-15 00:00:00","2"
"229","2015-02-28 00:00:00","400"
"230","2016-07-10 00:00:00","11050"
"231","2016-08-22 00:00:00","100"
"232","2009-05-15 00:00:00","0"
"233","2014-10-08 00:00:00","21100"
"234","2014-07-23 00:00:00","18000"
"235","2011-02-15 00:00:00","4150"
"236","2009-01-15 00:00:00","25800"
"237","2014-10-31 00:00:00","0"
"238","2007-07-24 00:00:00","1000"
"239","2013-05-08 00:00:00","30000"
"240","2014-06-30 00:00:00","352000"
"241","2011-05-26 00:00:00","0"
"242","2007-11-01 00:00:00","0"
"243","2011-03-30 00:00:00","11650"
"244","2006-08-31 00:00:00","0"
"245","2015-02-08 00:00:00","0"
"246","2015-10-27 00:00:00","10000"
"247","2016-10-04 00:00:00","700"
"248","2014-03-02 00:00:00","66000"
"249","2010-11-07 00:00:00","88000"
"250","2006-04-10 00:00:00","41500"
"251","2016-05-14 00:00:00","18500"
"252","2012-12-16 00:00:00","0"
"253","2012-01-10 00:00:00","0"
"254","2008-05-19 00:00:00","24100"
"255","2009-02-04 00:00:00","0"
"256","2007-02-19 00:00:00","2000"
"257","2012-05-24 00:00:00","420400"
"258","2011-06-27 00:00:00","2000"
"259","2015-12-20 00:00:00","65000"
"260","2009-08-09 00:00:00","6500"
"261","2016-11-16 00:00:00","16100"
"262","2008-09-11 00:00:00","2000"
"263","2009-01-06 00:00:00","30000"
"264","2009-12-04 00:00:00","0"
"265","2007-12-02 00:00:00","6500"
"266","2014-04-11 00:00:00","8000"
"267","2005-04-03 00:00:00","6455"
"268","2015-03-09 00:00:00","8100"
"269","2013-10-07 00:00:00","0"
"270","2010-02-11 00:00:00","69400"
"271","2006-09-03 00:00:00","1425"
"272","2008-07-04 00:00:00","12800"
"273","2012-01-30 00:00:00","0"
"274","2013-10-24 00:00:00","3200"
"275","2015-08-25 00:00:00","0"
"276","2014-02-01 00:00:00","0"
"277","2006-05-09 00:00:00","9950"
"278","2006-10-25 00:00:00","0"
"279","2011-10-22 00:00:00","15300"
"280","2008-03-26 00:00:00","2010"
"281","2010-05-22 00:00:00","2500"
"282","2015-07-04 00:00:00","1500"
"283","2009-08-26 00:00:00","200"
"284","2008-09-28 00:00:00","5750"
"285","2016-01-06 00:00:00","5000"
"286","2016-12-03 00:00:00","8000"
"287","2006-11-11 00:00:00","151700"
"288","2014-02-18 00:00:00","4500"
"289","2012-09-01 00:00:00","0"
"290","2009-04-16 00:00:00","11500"
"291","2014-07-20 00:00:00","0"
"292","2015-06-17 00:00:00","3900"
"293","2008-03-09 00:00:00","24100"
"294","2009-12-21 00:00:00","164131"
"295","2010-03-14 00:00:00","50500"
"296","2007-05-30 00:00:00","5400"
"297","2005-06-28 00:00:00","5550"
"298","2007-08-24 00:00:00","2000"
"299","2012-10-05 00:00:00","65400"
"300","2011-11-08 00:00:00","500"
"301","2010-05-05 00:00:00","250500"
"302","2011-01-09 00:00:00","68000"
"303","2012-08-18 00:00:00","1700"
"304","2005-10-06 00:00:00","73300"
"305","2016-07-22 00:00:00","9000"
"306","2010-10-01 00:00:00","10450"
"307","2006-01-14 00:00:00","6650"
"308","2012-11-26 00:00:00","55000"
"309","2008-06-17 00:00:00","63590"
"310","2005-11-27 00:00:00","2185"
"311","2006-08-03 00:00:00","86300"
"312","2013-03-06 00:00:00","50"
"313","2011-07-28 00:00:00","0"
"314","2013-11-10 00:00:00","25350"
"315","2015-09-28 00:00:00","1850"
"316","2011-04-19 00:00:00","1500"
"317","2006-03-07 00:00:00","71450"
"318","2013-06-14 00:00:00","0"
"319","2006-11-28 00:00:00","7050"
"320","2012-03-02 00:00:00","10000"
"321","2014-12-16 00:00:00","0"
"322","2014-07-03 00:00:00","500"
"323","2007-01-16 00:00:00","1900"
"324","2014-04-25 00:00:00","0"
"325","2006-02-15 00:00:00","858010"
"326","2009-10-31 00:00:00","4000"
"327","2015-04-15 00:00:00","0"
"328","2015-06-03 00:00:00","2500"
"329","2006-04-07 00:00:00","15070"
"330","2009-09-12 00:00:00","0"
"331","2007-10-29 00:00:00","21000"
"332","2014-08-23 00:00:00","400"
"333","2015-02-05 00:00:00","1100"
"334","2011-04-02 00:00:00","21500"
"335","2013-01-31 00:00:00","2000"
"336","2014-10-28 00:00:00","4500"
"337","2011-07-11 00:00:00","2100"
"338","2008-10-12 00:00:00","20000"
"339","2008-11-30 00:00:00","5600"
"340","2014-05-15 00:00:00","0"
"341","2007-07-21 00:00:00","2250"
"342","2016-05-17 00:00:00","500"
"343","2015-03-26 00:00:00","2000"
"344","2012-12-13 00:00:00","0"
"345","2009-07-08 00:00:00","5800"
"346","2009-03-30 00:00:00","500"
"347","2009-05-18 00:00:00","33100"
"348","2012-09-04 00:00:00","327000"
"349","2016-08-25 00:00:00","0"
"350","2015-07-24 00:00:00","0"
"351","2016-03-29 00:00:00","0"
"352","2008-12-20 00:00:00","1500"
"353","2011-10-05 00:00:00","15300"
"354","2007-03-08 00:00:00","100"
"355","2013-03-23 00:00:00","1500"
"356","2007-04-26 00:00:00","17000"
"357","2011-02-12 00:00:00","15000"
"358","2015-09-11 00:00:00","0"
"359","2010-06-08 00:00:00","98200"
"360","2006-07-02 00:00:00","66600"
"361","2014-01-15 00:00:00","0"
"362","2006-05-26 00:00:00","29080"
"363","2013-11-27 00:00:00","86000"
"364","2006-08-20 00:00:00","170500"
"365","2010-12-23 00:00:00","5000"
"366","2005-04-23 00:00:00","25000"
"367","2005-12-28 00:00:00","40000"
"368","2010-07-27 00:00:00","7000"
"369","2005-08-01 00:00:00","30400"
"370","2005-09-19 00:00:00","23600"
"371","2011-08-17 00:00:00","1000"
"372","2010-02-28 00:00:00","0"
"373","2010-04-18 00:00:00","0"
"374","2012-12-27 00:00:00","72600"
"375","2005-06-11 00:00:00","50000"
"376","2012-01-13 00:00:00","178000"
"377","2016-08-11 00:00:00","8000"
"378","2012-09-18 00:00:00","21400"
"379","2005-01-13 00:00:00","6950"
"380","2012-04-22 00:00:00","1600"
"381","2007-11-12 00:00:00","11500"
"382","2012-06-10 00:00:00","2500"
"383","2016-11-19 00:00:00","56000"
"384","2007-08-04 00:00:00","257800"
"385","2006-09-06 00:00:00","19300"
"386","2011-12-10 00:00:00","43100"
"387","2016-06-03 00:00:00","0"
"388","2009-02-24 00:00:00","0"
"389","2010-01-22 00:00:00","3500"
"390","2015-07-07 00:00:00","400"
"391","2010-05-19 00:00:00","2200"
"392","2009-06-21 00:00:00","19000"
"393","2005-11-24 00:00:00","60500"
"394","2012-09-21 00:00:00","1200"
"395","2013-08-19 00:00:00","22400"
"396","2007-04-09 00:00:00","30900"
"397","2012-04-05 00:00:00","0"
"398","2006-05-12 00:00:00","42000"
"399","2010-11-04 00:00:00","2500"
"400","2007-10-12 00:00:00","140020"
"401","2015-01-19 00:00:00","15000"
"402","2014-02-21 00:00:00","40000"
"403","2008-09-08 00:00:00","1200"
"404","2006-03-21 00:00:00","4000"
"405","2014-06-01 00:00:00","0"
"406","2012-05-27 00:00:00","37500"
"407","2011-06-24 00:00:00","1000"
"408","2016-12-06 00:00:00","1000"
"409","2008-12-17 00:00:00","76000"
"410","2016-02-07 00:00:00","56100"
"411","2012-07-14 00:00:00","12100"
"412","2013-05-11 00:00:00","200"
"413","2005-04-06 00:00:00","20000"
"414","2015-03-29 00:00:00","19000"
"415","2010-08-27 00:00:00","0"
"416","2011-10-19 00:00:00","200"
"417","2014-02-04 00:00:00","0"
"418","2008-08-22 00:00:00","5520"
"419","2008-05-16 00:00:00","75000"
"420","2008-02-06 00:00:00","53000"
"421","2013-10-27 00:00:00","0"
"422","2006-12-15 00:00:00","60500"
"423","2010-07-10 00:00:00","4000"
"424","2016-09-11 00:00:00","44980"
"425","2010-02-08 00:00:00","79000"
"426","2010-05-02 00:00:00","0"
"427","2005-01-27 00:00:00","10400"
"428","2009-06-04 00:00:00","0"
"429","2006-09-23 00:00:00","102000"
"430","2012-03-19 00:00:00","0"
"431","2011-04-22 00:00:00","0"
"432","2007-08-21 00:00:00","20000"
"433","2014-10-11 00:00:00","11000"
"434","2007-07-18 00:00:00","0"
"435","2011-12-27 00:00:00","600"
"436","2012-11-23 00:00:00","0"
"437","2006-06-12 00:00:00","0"
"438","2015-04-29 00:00:00","0"
"439","2013-04-24 00:00:00","19700"
"440","2013-12-29 00:00:00","0"
"441","2008-01-20 00:00:00","69650"
"442","2008-09-25 00:00:00","25300"
"443","2010-08-13 00:00:00","15200"
"444","2008-04-29 00:00:00","1000"
"445","2006-03-04 00:00:00","0"
"446","2015-03-12 00:00:00","15100"
"447","2015-06-20 00:00:00","3050"
"448","2016-02-24 00:00:00","5899"
"449","2010-11-21 00:00:00","8500"
"450","2009-01-03 00:00:00","14350"
"451","2015-11-16 00:00:00","45075"
"452","2013-08-02 00:00:00","9500"
"453","2007-10-26 00:00:00","0"
"454","2011-04-05 00:00:00","375000"
"455","2006-06-15 00:00:00","30000"
"456","2007-05-13 00:00:00","8000"
"457","2011-09-18 00:00:00","0"
"458","2012-08-15 00:00:00","37000"
"459","2010-06-25 00:00:00","25000"
"460","2005-01-10 00:00:00","31500"
"461","2014-01-18 00:00:00","0"
"462","2005-03-20 00:00:00","49800"
"463","2011-07-31 00:00:00","0"
"464","2013-05-28 00:00:00","11200"
"465","2006-02-18 00:00:00","16800"
"466","2012-06-27 00:00:00","15000"
"467","2008-02-23 00:00:00","0"
"468","2016-11-02 00:00:00","0"
"469","2016-03-12 00:00:00","0"
"470","2016-04-30 00:00:00","0"
"471","2008-12-03 00:00:00","0"
"472","2005-05-10 00:00:00","1500"
"473","2005-07-15 00:00:00","5000"
"474","2010-10-18 00:00:00","0"
"475","2013-07-16 00:00:00","0"
"476","2005-01-30 00:00:00","35500"
"477","2016-09-14 00:00:00","20000"
"478","2016-08-28 00:00:00","2000"
"479","2016-12-23 00:00:00","73000"
"480","2011-01-26 00:00:00","0"
"481","2009-03-27 00:00:00","0"
"482","2011-03-16 00:00:00","6000"
"483","2007-07-01 00:00:00","187000"
"484","2005-09-02 00:00:00","143000"
"485","2012-12-10 00:00:00","2300"
"486","2016-05-20 00:00:00","17600"
"487","2010-08-30 00:00:00","4100"
"488","2006-01-29 00:00:00","7200"
"489","2014-05-12 00:00:00","19000"
"490","2014-12-19 00:00:00","9000"
"491","2011-07-14 00:00:00","0"
"492","2005-12-11 00:00:00","90000"
"493","2005-10-23 00:00:00","2800"
"494","2007-02-02 00:00:00","1700"
"495","2013-03-20 00:00:00","3000"
"496","2015-02-20 00:00:00","6000"
"497","2015-10-15 00:00:00","477000"
"498","2005-04-20 00:00:00","140300"
"499","2016-06-20 00:00:00","250500"
"500","2009-03-13 00:00:00","35520"
"501","2009-11-17 00:00:00","1200"
"502","2006-05-29 00:00:00","25900"
"503","2013-09-05 00:00:00","1300"
"504","2011-05-06 00:00:00","14500"
"505","2015-12-03 00:00:00","2200"
"506","2008-05-31 00:00:00","200"
"507","2016-08-08 00:00:00","65200"
"508","2009-01-23 00:00:00","0"
"509","2013-02-17 00:00:00","0"
"510","2008-07-21 00:00:00","6000"
"511","2005-04-26 00:00:00","13250"
"512","2006-03-24 00:00:00","93500"
"513","2013-04-21 00:00:00","0"
"514","2011-09-06 00:00:00","148500"
"515","2012-08-03 00:00:00","26200"
"516","2014-03-19 00:00:00","3600"
"517","2010-11-01 00:00:00","46100"
"518","2005-05-19 00:00:00","37800"
"519","2015-01-22 00:00:00","3000"
"520","2011-09-29 00:00:00","0"
"521","2014-02-24 00:00:00","0"
"522","2007-10-15 00:00:00","108500"
"523","2007-01-04 00:00:00","2700"
"524","2006-02-06 00:00:00","18300"
"525","2006-03-01 00:00:00","0"
"526","2012-06-16 00:00:00","200"
"527","2013-05-14 00:00:00","14500"
"528","2010-04-29 00:00:00","200"
"529","2015-07-27 00:00:00","500"
"530","2008-04-18 00:00:00","1500"
"531","2010-04-06 00:00:00","31800"
"532","2015-08-19 00:00:00","0"
"533","2015-11-27 00:00:00","0"
"534","2009-12-27 00:00:00","500"
"535","2008-08-19 00:00:00","81000"
"536","2015-11-04 00:00:00","27000"
"537","2010-01-19 00:00:00","10500"
"538","2008-07-27 00:00:00","109000"
"539","2005-02-08 00:00:00","0"
"540","2005-07-12 00:00:00","2050"
"541","2006-06-09 00:00:00","100"
"542","2007-02-25 00:00:00","2000"
"543","2008-01-23 00:00:00","400"
"544","2014-06-04 00:00:00","0"
"545","2015-05-02 00:00:00","1000"
"546","2006-04-22 00:00:00","11600"
"547","2008-02-03 00:00:00","0"
"548","2008-12-31 00:00:00","85190"
"549","2013-07-30 00:00:00","500"
"550","2011-05-29 00:00:00","7000"
"551","2005-11-21 00:00:00","500"
"552","2013-11-16 00:00:00","0"
"553","2016-10-30 00:00:00","9980"
"554","2012-04-02 00:00:00","0"
"555","2013-02-28 00:00:00","0"
"556","2014-10-14 00:00:00","0"
"557","2011-04-25 00:00:00","4000"
"558","2013-01-11 00:00:00","0"
"559","2008-03-20 00:00:00","5250"
"560","2012-10-17 00:00:00","0"
"561","2012-03-22 00:00:00","1000"
"562","2006-09-26 00:00:00","3820"
"563","2009-06-01 00:00:00","1000"
"564","2006-06-18 00:00:00","300"
"565","2013-09-25 00:00:00","21100"
"566","2007-07-09 00:00:00","34500"
"567","2011-03-04 00:00:00","11400"
"568","2009-09-09 00:00:00","150"
"569","2011-12-24 00:00:00","10000"
"570","2006-07-31 00:00:00","48750"
"571","2015-06-23 00:00:00","16500"
"572","2016-02-21 00:00:00","60000"
"573","2008-11-13 00:00:00","0"
"574","2013-11-07 00:00:00","7500"
"575","2010-11-24 00:00:00","15200"
"576","2016-05-31 00:00:00","15000"
"577","2008-05-02 00:00:00","6200"
"578","2010-08-16 00:00:00","36500"
"579","2009-02-21 00:00:00","36000"
"580","2008-04-09 00:00:00","75180"
"581","2016-04-04 00:00:00","6850"
"582","2010-05-08 00:00:00","0"
"583","2016-09-17 00:00:00","21000"
"584","2010-10-21 00:00:00","8300"
"585","2015-11-13 00:00:00","18500"
"586","2010-01-10 00:00:00","70500"
"587","2016-04-27 00:00:00","4000"
"588","2007-12-11 00:00:00","0"
"589","2012-06-30 00:00:00","23500"
"590","2011-08-03 00:00:00","400"
"591","2015-12-06 00:00:00","63650"
"592","2013-05-25 00:00:00","1800"
"593","2007-11-18 00:00:00","4000"
"594","2010-09-28 00:00:00","0"
"595","2005-01-07 00:00:00","31500"
"596","2012-08-12 00:00:00","24280"
"597","2013-01-25 00:00:00","40000"
"598","2006-01-03 00:00:00","0"
"599","2013-04-12 00:00:00","0"
"600","2007-05-16 00:00:00","11000"
"601","2006-01-26 00:00:00","0"
"602","2013-01-02 00:00:00","0"
"603","2005-08-13 00:00:00","2300"
"604","2005-09-25 00:00:00","2100"
"605","2007-02-05 00:00:00","9000"
"606","2013-05-05 00:00:00","3500"
"607","2012-11-20 00:00:00","5000"
"608","2014-11-03 00:00:00","56275"
"609","2007-06-28 00:00:00","5500"
"610","2014-10-05 00:00:00","8000"
"611","2005-09-05 00:00:00","0"
"612","2011-02-18 00:00:00","150"
"613","2010-12-03 00:00:00","11000"
"614","2005-05-30 00:00:00","100"
"615","2009-09-18 00:00:00","7300"
"616","2010-11-10 00:00:00","52020"
"617","2016-12-26 00:00:00","10000"
"618","2007-10-06 00:00:00","0"
"619","2011-03-13 00:00:00","15800"
"620","2007-08-10 00:00:00","17000"
"621","2014-11-17 00:00:00","1500"
"622","2011-06-21 00:00:00","0"
"623","2016-01-18 00:00:00","2000"
"624","2006-11-22 00:00:00","2000"
"625","2007-03-20 00:00:00","7000"
"626","2013-02-14 00:00:00","0"
"627","2008-07-18 00:00:00","1500"
"628","2005-12-14 00:00:00","4050"
"629","2014-06-27 00:00:00","18000"
"630","2012-09-24 00:00:00","5500"
"631","2016-08-05 00:00:00","25"
"632","2008-02-26 00:00:00","400"
"633","2009-04-28 00:00:00","0"
"634","2013-12-09 00:00:00","14100"
"635","2009-05-12 00:00:00","11000"
